Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
SPSB2,Predicted intracellular proteins,"","","","","","","",""
ENO2,"Cancer-related genes, Candidate cardiovascular disease genes, Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
ATN1,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
C12orf57,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
PTPN6,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
LPCAT3,"Enzymes, Metabolic proteins, Predicted membrane proteins","","",Y,"","","","",Y
NT5DC3,"Metabolic proteins, Predicted secreted proteins","","","","","","","",""
SLCO1B3,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
APOBEC1,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
NANOG,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SUDS3,Predicted intracellular proteins,"","","","","","","",""
GOLT1B,Predicted membrane proteins,"","","","","","","",Y
GYS2,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
LDHB,"Disease related genes, Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins",Y,Y,Y,"","","","",""
PRKAB1,"FDA approved drug targets, Predicted intracellular proteins","",Y,"","","","","",""
CMAS,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
HCFC2,Predicted intracellular proteins,"","","","","","","",""
ST8SIA1,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
CLEC4A,"CD markers, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
C2CD5,Predicted intracellular proteins,"","","","","","","",""
AICDA,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
RAB35,Predicted intracellular proteins,"","","","","","","",""
PHC1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
COX6A1,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted membrane proteins",Y,"","","","","","",Y
AL021546.1,Predicted intracellular proteins,"","","","","","","",""
RFX4,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
RIC8B,Predicted intracellular proteins,"","","","","","","",""
SRSF9,Predicted intracellular proteins,"","","","","","","",""
FGFR1OP2,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
KLRB1,"CD markers, Predicted membrane proteins","","","","","","","",Y
COL12A1,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
BTN3A3,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
TDP2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
FRK,"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","",Y,Y,Y,"","","",""
DSE,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,"","","","",Y
RWDD1,Predicted intracellular proteins,"","","","","","","",""
RSPH4A,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
MAK,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,Y,"","","",""
TMEM14C,Predicted membrane proteins,"","","","","","","",Y
PAK1IP1,Predicted intracellular proteins,"","","","","","","",""
GCNT2,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,"","","","",Y
SMIM8,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
NEDD9,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
CEP85L,"Disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
ADTRP,Predicted membrane proteins,"","","","","","","",Y
ASF1A,Predicted intracellular proteins,"","","","","","","",""
MCM9,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
FAM184A,Predicted intracellular proteins,"","","","","","","",""
RNGTT,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
MAN1A1,"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins","","",Y,"","","","",Y
GABRR2,Predicted membrane proteins,"","","","","","","",Y
SERINC1,"Plasma proteins, Predicted membrane proteins","","","","","","","",Y
HDDC2,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
TPD52L1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
HINT3,Predicted intracellular proteins,"","","","","","","",""
NCOA7,"Predicted intracellular proteins, Transporters","","","","","","","",""
RIPOR2,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
SASH1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
UST,"Metabolic proteins, Predicted membrane proteins","","","","","","","",Y
ULBP1,Predicted membrane proteins,"","","","","","","",Y
FBXO5,Predicted intracellular proteins,"","","","","","","",""
MTRF1L,Predicted intracellular proteins,"","","","","","","",""
PPARD,"FDA approved drug targets, Nuclear receptors, Predicted intracellular proteins, Transcription factors","",Y,"","","","",Y,""
OPRM1,"FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins, Transporters","",Y,"","","",Y,"",Y
FANCE,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
TULP1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
SLC26A8,"Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
MAPK14,"Cancer-related genes, Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
RHAG,"CD markers, Disease related genes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
KCTD20,Predicted intracellular proteins,"","","","","","","",""
STK38,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
SRSF3,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins","","","","","","","",""
SOD2,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
MRPL18,"Predicted intracellular proteins, Ribosomal proteins","","","","","","","",""
IL17A,"Cancer-related genes, FDA approved drug targets, Plasma proteins, Predicted secreted proteins","",Y,"","","","","",""
IL17F,"Disease related genes, Human disease related genes, Predicted secreted proteins",Y,"","","","","","",""
MCM3,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
RNF8,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
PHACTR1,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
MDGA1,Predicted intracellular proteins,"","","","","","","",""
CILK1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,Y,"","","",""
FBXO9,Predicted intracellular proteins,"","","","","","","",""
CD83,"CD markers, Predicted membrane proteins","","","","","","","",Y
MDN1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
GLP1R,"FDA approved drug targets, G-protein coupled receptors, Predicted membrane proteins, Transporters","",Y,"","","",Y,"",Y
SAYSD1,Predicted membrane proteins,"","","","","","","",Y
BMP5,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
BACH2,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
RBM24,Predicted intracellular proteins,"","","","","","","",""
CAP2,"Cancer-related genes, Predicted intracellular proteins","","","","","","","",""
TREML2,"Plasma proteins, Predicted membrane proteins","","","","","","","",Y
ZNF451,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
BAG2,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
RAB23,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
TSPO2,"Predicted membrane proteins, Transporters","","","","","","","",Y
FHL5,Predicted intracellular proteins,"","","","","","","",""
GPR63,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
KHDRBS2,Predicted intracellular proteins,"","","","","","","",""
FBXL4,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
CCNC,Predicted intracellular proteins,"","","","","","","",""
PRDM13,"Cancer-related genes, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
E2F3,"Cancer-related genes, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
PTP4A1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
SIM1,"Human disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ASCC3,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
HDGFL1,Predicted intracellular proteins,"","","","","","","",""
BVES,"Disease related genes, Human disease related genes, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
COL9A1,"Disease related genes, Human disease related genes, Predicted secreted proteins",Y,"","","","","","",""
MED23,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
WASF1,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
GPLD1,"Enzymes, Metabolic proteins, Plasma proteins, Predicted secreted proteins","","",Y,"","","","",""
ALDH5A1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
CRYBG1,Predicted intracellular proteins,"","","","","","","",""
VNN1,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
VNN2,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
ACOT13,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
SMAP1,Predicted intracellular proteins,"","","","","","","",""
RPS12,"Plasma proteins, Predicted intracellular proteins, Ribosomal proteins","","","","","","","",""
C6orf62,Predicted intracellular proteins,"","","","","","","",""
B3GAT2,"Enzymes, Metabolic proteins, Predicted membrane proteins","","",Y,"","","","",Y
GMNN,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
EYA4,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
SOBP,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
NR2E1,"Nuclear receptors, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SNX3,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Y,Y,"","","","","",""
SLC17A2,"Metabolic proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
HBS1L,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
TRIM38,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
PEX7,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters",Y,Y,"","","","","",""
ZBTB24,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
FIG4,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
PERP,Predicted membrane proteins,"","","","","","","",Y
ARFGEF3,Predicted intracellular proteins,"","","","","","","",""
SLC16A10,"Metabolic proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
HECA,Predicted intracellular proteins,"","","","","","","",""
ADGRG6,"Disease related genes, G-protein coupled receptors, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,"","","",Y,"",Y
PHACTR2,Predicted intracellular proteins,"","","","","","","",""
EPM2A,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
OR12D3,"G-protein coupled receptors, Predicted membrane proteins","","","","","",Y,"",Y
SLC39A7,"Metabolic proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
CCR6,"CD markers, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins","","","","","",Y,"",Y
UNC93A,Predicted membrane proteins,"","","","","","","",Y
SLC22A2,"Metabolic proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
PHF1,"Disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
CUTA,"Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
PACRG,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
QKI,"Cancer-related genes, Predicted intracellular proteins","","","","","","","",""
C6orf118,Predicted intracellular proteins,"","","","","","","",""
PDE10A,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Y,Y,Y,"","","","",""
MDFI,Predicted intracellular proteins,"","","","","","","",""
TFEB,"Cancer-related genes, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
SMOC2,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins",Y,"","","","","","",Y
CCND3,"Cancer-related genes, Human disease related genes, Predicted intracellular proteins","","","","","","","",""
BYSL,Predicted intracellular proteins,"","","","","","","",""
FAM120B,Predicted intracellular proteins,"","","","","","","",""
TBP,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
GUCA1B,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters",Y,Y,"","","","","",""
PRPH2,"Disease related genes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
BICRAL,Predicted intracellular proteins,"","","","","","","",""
PPP2R5D,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
MRPL2,"Predicted intracellular proteins, Ribosomal proteins","","","","","","","",""
PTK7,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins","","",Y,Y,"","","",Y
SRF,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
CUL9,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
DNPH1,Predicted intracellular proteins,"","","","","","","",""
DUSP22,"Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
EXOC2,"Predicted intracellular proteins, RAS pathway related proteins, Transporters","","","","","","","",""
COX7A2,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
TMEM30A,"Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
GMDS,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
SENP6,"Enzymes, Predicted intracellular proteins","","",Y,"",Y,"","",""
IMPG1,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
VEGFA,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins",Y,Y,"","","","","",""
PRPF4B,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
TTK,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
SLC29A1,"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
CCN6,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
BTN2A1,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
LAMA4,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
TENT5A,"Disease related genes, Human disease related genes, Predicted intracellular proteins",Y,"","","","","","",""
CLIC5,"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Transporters",Y,Y,"","","","","",""
FBRSL1,Predicted intracellular proteins,"","","","","","","",""
ENPP5,Predicted membrane proteins,"","","","","","","",Y
LY86,Predicted secreted proteins,"","","","","","","",""
PRSS16,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins","","",Y,"",Y,"","",""
MEP1A,"Enzymes, Plasma proteins, Predicted membrane proteins","","",Y,"","","","",Y
TBX18,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
ERBIN,Predicted intracellular proteins,"","","","","","","",""
PCDHB2,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
HARS2,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
NUDT12,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
CEP72,Predicted intracellular proteins,"","","","","","","",""
MAN2A1,"Enzymes, Metabolic proteins, Plasma proteins, Predicted membrane proteins","","",Y,"","","","",Y
SEMA5A,"Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
C7,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Y,"","","","","","",""
TENT4A,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,"","","","",Y
GHR,"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted membrane proteins, Predicted secreted proteins",Y,Y,"","","","","",Y
HMGCS1,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
DAP,Predicted intracellular proteins,"","","","","","","",""
NME5,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
BRD8,Predicted intracellular proteins,"","","","","","","",""
KIF20A,Predicted intracellular proteins,"","","","","","","",""
NNT,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,Y,"","","","",Y
MRPS30,"Predicted intracellular proteins, Ribosomal proteins","","","","","","","",""
HSPA9,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
MRPS27,"Predicted intracellular proteins, Ribosomal proteins","","","","","","","",""
PFDN1,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
HBEGF,"Predicted membrane proteins, Predicted secreted proteins","","","","","","","",Y
SLC4A9,"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
LOX,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins",Y,Y,Y,"","","","",""
GZMK,"Enzymes, Predicted secreted proteins","","",Y,"",Y,"","",""
CDH9,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
APBB3,Predicted intracellular proteins,"","","","","","","",""
TMCO6,Predicted intracellular proteins,"","","","","","","",""
SPARC,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins",Y,"","","","","","",""
IK,Predicted intracellular proteins,"","","","","","","",""
HMGCR,"Enzymes, FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","",Y,Y,"","","","",Y
CERT1,"Disease related genes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Y,"","","","","","",""
FAF2,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
HAND1,"Human disease related genes, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
PCDHB3,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
PCDHB5,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
PCDHB6,Predicted membrane proteins,"","","","","","","",Y
PCDHB7,"Plasma proteins, Predicted membrane proteins","","","","","","","",Y
PDE8B,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Y,"",Y,"","","","",""
CLK4,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins","","",Y,Y,"","","",Y
PCDHB15,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
HAVCR1,"CD markers, Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
GRM6,"Disease related genes, G-protein coupled receptors, Human disease related genes, Potential drug targets, Predicted membrane proteins",Y,Y,"","","",Y,"",Y
ITK,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,Y,"","","",""
RNF130,"Enzymes, Metabolic proteins, Predicted membrane proteins","","",Y,"","","","",Y
THG1L,"Disease related genes, Enzymes, Human disease related genes, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
ARSB,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
CLINT1,"Plasma proteins, Predicted intracellular proteins, Transporters","","","","","","","",""
THBS4,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins","","","","","","","",""
CNOT6,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
IL12B,"Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins",Y,Y,"","","","","",""
BTNL8,Predicted membrane proteins,"","","","","","","",Y
TTC1,Predicted intracellular proteins,"","","","","","","",""
MSH3,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
RASGRF2,"Predicted intracellular proteins, RAS pathway related proteins","","","","","","","",""
GABRG2,"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
CCNG1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins","","","","","","","",""
POLR3G,"Metabolic proteins, Predicted intracellular proteins, RNA polymerase related proteins","","","","","","","",""
DROSHA,"Cancer-related genes, Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
CDH6,"Plasma proteins, Predicted membrane proteins","","","","","","","",Y
LMNB1,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
ARRDC3,"Predicted intracellular proteins, Transporters","","","","","","","",""
GOLPH3,Predicted intracellular proteins,"","","","","","","",""
SUB1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
NPR3,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
FAM172A,Predicted intracellular proteins,"","","","","","","",""
SLC27A6,"Enzymes, Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters","","",Y,"","","","",Y
TARS1,"Disease related genes, Enzymes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
IRX4,"Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
LNPEP,"Enzymes, Predicted membrane proteins","","",Y,"",Y,"","",Y
PDE4D,"Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Predicted intracellular proteins",Y,Y,Y,"","","","",""
RAD1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
BRIX1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
AGXT2,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
PRLR,"Disease related genes, FDA approved drug targets, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,Y,"","","","","",Y
SLC12A7,"Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters","","","","","","","",Y
IL4,"Cancer-related genes, Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Y,"","","","","","",""
RAD50,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
IL5,"Cancer-related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins","",Y,"","","","","",""
ST8SIA4,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
GNPDA1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
PCDH12,"Disease related genes, Human disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins",Y,"","","","","","",Y
SKP1,Predicted intracellular proteins,"","","","","","","",""
NUP155,"Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters",Y,Y,"","","","","",""
PPP2CA,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
FGF1,"Cancer-related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins","",Y,"","","","","",""
NR3C1,"Disease related genes, FDA approved drug targets, Human disease related genes, Nuclear receptors, Plasma proteins, Predicted intracellular proteins, Transcription factors",Y,Y,"","","","",Y,""
C5orf15,Predicted membrane proteins,"","","","","","","",Y
PPWD1,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
LIFR,"Cancer-related genes, CD markers, Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
TRIM23,"Cancer-related genes, Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
TRAPPC13,Predicted intracellular proteins,"","","","","","","",""
C9,"Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins",Y,"","","","","","",""
SEC24A,Predicted intracellular proteins,"","","","","","","",""
TXNDC15,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
TTC33,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
RARS1,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
WWC1,Predicted intracellular proteins,"","","","","","","",""
MACROH2A1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
TCERG1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
DPYSL3,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
SMAD5,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
CSNK1A1,"Enzymes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins","","",Y,Y,"","","",""
HMGXB3,"Plasma proteins, Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ERGIC1,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Predicted membrane proteins",Y,"","","","","","",Y
PDGFRB,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins",Y,Y,Y,Y,"","","",Y
CDX1,"Predicted intracellular proteins, Transcription factors","","","","","","",Y,""
ATP6V0E1,"Metabolic proteins, Predicted membrane proteins","","","","","","","",Y
BNIP1,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
