Gene,Protein.class,Disease_Related,Drug_Target,Enzyme,Kinase,Peptidase,GPCR,Transcription_Factor,Membrane_Protein
ST7,"Predicted intracellular proteins, Predicted membrane proteins","","","","","","","",Y
CDC27,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins","","","","","","","",""
SLC4A1,"Blood group antigen proteins, CD markers, Disease related genes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters",Y,Y,"","","","","",Y
CALCR,"Human disease related genes, Predicted membrane proteins","","","","","","","",Y
HCCS,"Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
DVL2,Predicted intracellular proteins,"","","","","","","",""
PRSS22,"Enzymes, Predicted secreted proteins","","",Y,"",Y,"","",""
UPF1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
SKAP2,Predicted intracellular proteins,"","","","","","","",""
SLC25A5,"FDA approved drug targets, Metabolic proteins, Plasma proteins, Predicted membrane proteins, Transporters","",Y,"","","","","",Y
MCUB,"Predicted membrane proteins, Transporters","","","","","","","",Y
HOXA11,"Cancer-related genes, Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
POLR2J,"Metabolic proteins, Predicted intracellular proteins, RNA polymerase related proteins","","","","","","","",""
DHX33,"Enzymes, Predicted intracellular proteins","","",Y,"","","","",""
MEOX1,"Disease related genes, Human disease related genes, Predicted intracellular proteins, Transcription factors",Y,"","","","","",Y,""
THSD7A,"Disease related genes, Predicted membrane proteins, Predicted secreted proteins",Y,"","","","","","",Y
LIG3,"Enzymes, Plasma proteins, Predicted intracellular proteins","","",Y,"","","","",""
RPAP3,Predicted intracellular proteins,"","","","","","","",""
ACSM3,"Enzymes, Metabolic proteins, Predicted intracellular proteins","","",Y,"","","","",""
REXO5,Predicted intracellular proteins,"","","","","","","",""
CIAPIN1,Predicted intracellular proteins,"","","","","","","",""
SPPL2B,"Enzymes, Predicted membrane proteins","","",Y,"",Y,"","",Y
FAM214B,Predicted intracellular proteins,"","","","","","","",""
COPZ2,Predicted intracellular proteins,"","","","","","","",""
PRKAR2B,"Metabolic proteins, Predicted intracellular proteins","","","","","","","",""
MSL3,"Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins",Y,"","","","","","",""
CREBBP,"Cancer-related genes, Disease related genes, Enzymes, Human disease related genes, Metabolic proteins, Plasma proteins, Potential drug targets, Predicted intracellular proteins",Y,Y,Y,"","","","",""
TSPOAP1,"Plasma proteins, Predicted intracellular proteins","","","","","","","",""
